#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,First Ability,Second Ability,Hidden Ability,Group 1,Group 2
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,Run Away,Early Bird,Tangled Feet,Flying,
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1,Run Away,Early Bird,Tangled Feet,Flying,
86,Seel,Water,,325,65,45,55,45,70,45,1,Thick Fat,Hydration,Ice Body,Water 1,Field
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,Thick Fat,Hydration,Ice Body,Water 1,Field
88,Grimer,Poison,,325,80,80,50,40,50,25,1,Stench,Sticky Hold,Poison Touch,Amorphous,
88,Grimer Alolan Form,Poison,Dark,325,80,80,50,40,50,25,1,Poison Touch,Gluttony,Power of Alchemy,Amorphous,
89,Muk,Poison,,500,105,105,75,65,100,50,1,Stench,Sticky Hold,Poison Touch,Amorphous,
89,Muk Alolan Form,Poison,Dark,500,105,105,75,65,100,50,1,Poison Touch,Gluttony,Power of Alchemy,Amorphous,
90,Shellder,Water,,305,30,65,100,45,25,40,1,Shell Armor,Skill Link,Overcoat,Water 3,
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,Shell Armor,Skill Link,Overcoat,Water 3,
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,Levitate,,,Amorphous,
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,Levitate,,,Amorphous,
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,Cursed Body,,,Amorphous,
94,Gengar Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,Shadow Tag,,,Amorphous,
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,Rock Head,Sturdy,Weak Armor,Mineral,
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,Insomnia,Forewarn,Inner Focus,Human-Like,
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,Insomnia,Forewarn,Inner Focus,Human-Like,
98,Krabby,Water,,325,30,105,90,25,25,50,1,Hyper Cutter,Shell Armor,Sheer Force,Water 3,
99,Kingler,Water,,475,55,130,115,50,50,75,1,Hyper Cutter,Shell Armor,Sheer Force,Water 3,
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,Soundproof,Static,Aftermath,Mineral,
101,Electrode,Electric,,490,60,50,70,80,80,150,1,Soundproof,Static,Aftermath,Mineral,
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,Chlorophyll,,Harvest,Grass,
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,1,Chlorophyll,,Harvest,Grass,
103,Exeggutor Alolan Form,Grass,Dragon,530,95,105,85,125,75,45,1,Frisk,,Harvest,Grass,
104,Cubone,Ground,,320,50,50,95,40,50,35,1,Rock Head,Lightning Rod,Battle Armor,Monster,
105,Marowak,Ground,,425,60,80,110,50,80,45,1,Rock Head,Lightning Rod,Battle Armor,Monster,
105,Marowak Alolan Form,Fire,Ghost,425,60,80,110,50,80,45,1,Cursed Body,Lightning Rod,Rock Head,Monster,
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,Limber,Reckless,Unburden,Human-Like,
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,Keen Eye,Iron Fist,Inner Focus,Human-Like,
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,Own Tempo,Oblivious,Cloud Nine,Monster,
109,Koffing,Poison,,340,40,65,95,60,45,35,1,Levitate,Neutralizing Gas,Stench,Amorphous,
110,Weezing,Poison,,490,65,90,120,85,70,60,1,Levitate,Neutralizing Gas,Stench,Amorphous,
110,Weezing Galarian Form,Poison,Fairy,490,65,90,120,85,70,60,1,Levitate,Neutralizing Gas,Misty Surge,Amorphous,
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,Lightning Rod,Rock Head,Reckless,Monster,Field
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,Lightning Rod,Rock Head,Reckless,Monster,Field
113,Chansey,Normal,,450,250,5,5,35,105,50,1,Natural Cure,Serene Grace,Healer,Fairy,
114,Tangela,Grass,,435,65,55,115,100,40,60,1,Chlorophyll,Leaf Guard,Regenerator,Grass,
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,Early Bird,Scrappy,Inner Focus,Monster,
115,Kangaskhan Mega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,Parental Bond,,,Monster,
116,Horsea,Water,,295,30,40,70,70,25,60,1,Swift Swim,Sniper,Damp,Dragon,Water 1
117,Seadra,Water,,440,55,65,95,95,45,85,1,Poison Point,Sniper,Damp,Dragon,Water 1
118,Goldeen,Water,,320,45,67,60,35,50,63,1,Swift Swim,Water Veil,Lightning Rod,Water 2,
119,Seaking,Water,,450,80,92,65,65,80,68,1,Swift Swim,Water Veil,Lightning Rod,Water 2,
120,Staryu,Water,,340,30,45,55,70,55,85,1,Illuminate,Natural Cure,Analytic,Water 3,
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,Illuminate,Natural Cure,Analytic,Water 3,
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,Soundproof,Filter,Technician,Human-Like,
122,Mr. Mime Galarian Form,Psychic,Ice,460,50,65,65,90,90,100,1,Vital Spirit,Screen Cleaner,Ice Body,Human-Like,
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,Swarm,Technician,Steadfast,Bug,
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,Oblivious,Forewarn,Dry Skin,Human-Like,
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,Static,,Vital Spirit,Human-Like,
126,Magmar,Fire,,495,65,95,57,100,85,93,1,Flame Body,,Vital Spirit,Human-Like,
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,Hyper Cutter,Mold Breaker,Moxie,Bug,
127,Pinsir Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,Aerilate,,,Bug,
128,Tauros,Normal,,490,75,100,95,40,70,110,1,Intimidate,Anger Point,Sheer Force,Field,
129,Magikarp,Water,,200,20,10,55,15,20,80,1,Swift Swim,,Rattled,Water 2,Dragon
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,Intimidate,,Moxie,Water 2,Dragon
130,Gyarados Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,Mold Breaker,,,Water 2,Dragon
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,Water Absorb,Shell Armor,Hydration,Monster,Water 1
132,Ditto,Normal,,288,48,48,48,48,48,48,1,Limber,,Imposter,Ditto,
133,Eevee,Normal,,325,55,55,50,45,65,55,1,Run Away,Adaptability,Anticipation,Field,
133,Eevee Partner Eevee,Normal,,435,65,75,70,65,85,75,1,,,,,
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,Water Absorb,,Hydration,Field,
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,Volt Absorb,,Quick Feet,Field,
136,Flareon,Fire,,525,65,130,60,95,110,65,1,Flash Fire,,Guts,Field,
137,Porygon,Normal,,395,65,60,70,85,75,40,1,Trace,Download,Analytic,Mineral,
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,Swift Swim,Shell Armor,Weak Armor,Water 3,Water 1
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,Swift Swim,Shell Armor,Weak Armor,Water 3,Water 1
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,Swift Swim,Battle Armor,Weak Armor,Water 3,Water 1
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,Swift Swim,Battle Armor,Weak Armor,Water 3,Water 1
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,Rock Head,Pressure,Unnerve,Flying,
142,Aerodactyl Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,Tough Claws,,,Flying,
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,Immunity,Thick Fat,Gluttony,Monster,
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,Pressure,,Snow Cloak,Undiscovered,
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,Pressure,,Static,Undiscovered,
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,Pressure,,Flame Body,Undiscovered,
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,Shed Skin,,Marvel Scale,Dragon,Water 1
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,Shed Skin,,Marvel Scale,Dragon,Water 1
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,Inner Focus,,Multiscale,Dragon,Water 1
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,Pressure,,Unnerve,Undiscovered,
150,Mewtwo Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,Steadfast,,,Undiscovered,
150,Mewtwo Mega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,Insomnia,,,Undiscovered,
151,Mew,Psychic,,600,100,100,100,100,100,100,1,Synchronize,,,Undiscovered,
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,Overgrow,,Leaf Guard,Monster,Grass
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,Overgrow,,Leaf Guard,Monster,Grass
154,Meganium,Grass,,525,80,82,100,83,100,80,2,Overgrow,,Leaf Guard,Monster,Grass
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,Blaze,,Flash Fire,Field,
156,Quilava,Fire,,405,58,64,58,80,65,80,2,Blaze,,Flash Fire,Field,
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,Blaze,,Flash Fire,Field,
158,Totodile,Water,,314,50,65,64,44,48,43,2,Torrent,,Sheer Force,Monster,Water 1
159,Croconaw,Water,,405,65,80,80,59,63,58,2,Torrent,,Sheer Force,Monster,Water 1
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,Torrent,,Sheer Force,Monster,Water 1
161,Sentret,Normal,,215,35,46,34,35,45,20,2,Run Away,Keen Eye,Frisk,Field,
162,Furret,Normal,,415,85,76,64,45,55,90,2,Run Away,Keen Eye,Frisk,Field,
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,Insomnia,Keen Eye,Tinted Lens,Flying,
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,2,Insomnia,Keen Eye,Tinted Lens,Flying,
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,Swarm,Early Bird,Rattled,Bug,
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,Swarm,Early Bird,Iron Fist,Bug,
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,Swarm,Insomnia,Sniper,Bug,
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,2,Swarm,Insomnia,Sniper,Bug,
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,Inner Focus,,Infiltrator,Flying,
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,Volt Absorb,Illuminate,Water Absorb,Water 2,
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,Volt Absorb,Illuminate,Water Absorb,Water 2,
172,Pichu,Electric,,205,20,40,15,35,35,60,2,Static,,Lightning Rod,Undiscovered,
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,Cute Charm,Magic Guard,Friend Guard,Undiscovered,
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,Cute Charm,Competitive,Friend Guard,Undiscovered,
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,Hustle,Serene Grace,Super Luck,Undiscovered,
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,Hustle,Serene Grace,Super Luck,Fairy,Flying
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,Synchronize,Early Bird,Magic Bounce,Flying,
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,Synchronize,Early Bird,Magic Bounce,Flying,
179,Mareep,Electric,,280,55,40,40,65,45,35,2,Static,,Plus,Monster,Field
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,Static,,Plus,Monster,Field
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,Static,,Plus,Monster,Field
181,Ampharos Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,Mold Breaker,,,Monster,Field
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,Chlorophyll,,Healer,Grass,
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,Thick Fat,Huge Power,Sap Sipper,Fairy,Water 1
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,Thick Fat,Huge Power,Sap Sipper,Fairy,Water 1
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,Sturdy,Rock Head,Rattled,Mineral,
186,Politoed,Water,,500,90,75,75,90,100,70,2,Water Absorb,Damp,Drizzle,Water 1,
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,Chlorophyll,Leaf Guard,Infiltrator,Fairy,Grass
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,Chlorophyll,Leaf Guard,Infiltrator,Fairy,Grass
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,Chlorophyll,Leaf Guard,Infiltrator,Fairy,Grass
190,Aipom,Normal,,360,55,70,55,40,55,85,2,Run Away,Pickup,Skill Link,Field,
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,Chlorophyll,Solar Power,Early Bird,Grass,
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,Chlorophyll,Solar Power,Early Bird,Grass,
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,Speed Boost,Compound Eyes,Frisk,Bug,
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,Damp,Water Absorb,Unaware,Water 1,Field
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,Damp,Water Absorb,Unaware,Water 1,Field
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,Synchronize,,Magic Bounce,Field,
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,Synchronize,,Inner Focus,Field,
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,Insomnia,Super Luck,Prankster,Flying,
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,Oblivious,Own Tempo,Regenerator,Monster,Water 1
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,Levitate,,,Amorphous,
201,Unown,Psychic,,336,48,72,48,72,48,48,2,Levitate,,,Undiscovered,
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,Shadow Tag,,Telepathy,Amorphous,
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,Inner Focus,Early Bird,Sap Sipper,Field,
204,Pineco,Bug,,290,50,65,90,35,35,15,2,Sturdy,,Overcoat,Bug,
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,Sturdy,,Overcoat,Bug,
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,Serene Grace,Run Away,Rattled,Field,
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,Hyper Cutter,Sand Veil,Immunity,Bug,
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,Rock Head,Sturdy,Sheer Force,Mineral,
208,Steelix Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,Sand Force,,,Mineral,
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,Intimidate,Run Away,Rattled,Fairy,Field
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,Intimidate,Quick Feet,Rattled,Fairy,Field
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,2,Poison Point,Swift Swim,Intimidate,Water 2,
